last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest
2925000.0,75.0,2,3.2,5.0,27.4,4,False,False,False,24.6,0,24720.0,4287.0
19403020.0,152.3,2,3.53,9.0,82.0,7,False,False,False,11.0,0,21912.0,2389.0
1200000.0,62.8,2,2.84,18.0,29.6,3,False,False,False,12.5,0,16776.0,15572.0
1225000.0,55.2,3,2.5,5.0,38.2,4,False,False,False,6.0,0,35515.0,10574.0
1125000.0,60.0,3,2.77149889685604,9.0,40.0,8,False,False,False,7.0,0,19181.0,12982.0
1147500.0,48.0,2,2.77149889685604,9.0,28.5,2,False,False,False,7.0,0,33013.0,10885.0
862500.0,41.4,2,2.7,3.0,27.5,1,False,False,False,5.2,0,10626.0,14992.0
850000.0,36.0,1,2.77149889685604,5.0,15.82459231055059,2,False,False,False,8.055413197324295,1,20470.0,22182.0
549750.0,39.0,1,3.0,5.0,18.0,5,False,False,False,9.3,0,-1.0,-1.0
850000.0,29.9,1,2.5,5.0,15.4,5,False,False,False,7.2,0,44734.0,13846.0
1548750.0,56.0,2,2.77149889685604,14.0,34.0,10,False,False,False,8.3,0,41424.0,10304.0
1237500.0,38.0,1,2.5,12.0,20.0,5,False,False,False,8.5,0,31379.0,7518.0
2150000.0,129.0,5,2.77149889685604,25.0,87.0,19,False,False,False,16.5,2,16248.0,13838.0
662500.0,29.7,1,2.55,5.0,15.5,4,False,False,False,5.2,0,49653.0,53078.0
1747500.0,65.5,2,2.75,24.0,37.5,8,False,False,False,11.0,1,33620.0,14784.0
1400000.0,66.0,3,2.5,9.0,43.0,1,False,False,False,9.7,0,36070.0,9815.0
997500.0,52.0,2,2.6,16.0,30.0,9,False,False,False,9.5,0,-1.0,-1.0
800000.0,31.9,1,2.53,12.0,16.9,3,False,False,False,7.1,2,33010.0,10565.0
887500.0,35.3,1,2.86,15.0,16.3,4,False,False,False,9.1,2,17284.0,16081.0
1025000.0,46.1,2,2.5,9.0,29.7,9,False,False,False,8.1,1,14289.0,16080.0
1850000.0,66.0,2,2.75,22.0,40.0,3,False,False,False,11.7,2,36553.0,14693.0
245000.0,47.1,2,2.77149889685604,3.0,29.0,3,False,False,False,9.0,0,-1.0,-1.0
1550000.0,68.0,3,2.7,12.0,44.0,7,False,False,False,9.0,0,-1.0,-1.0
625000.0,34.0,1,2.7,5.0,14.4,3,False,False,False,12.2,0,18410.0,24211.0
1375000.0,42.0,1,2.6,10.0,15.0,7,False,False,False,9.0,0,34530.0,11639.0
950000.0,37.7,1,2.77149889685604,24.0,17.8,2,False,False,False,11.4,1,-1.0,-1.0
1050000.0,40.0,1,2.77149889685604,27.0,14.0,12,False,False,False,13.0,1,54386.0,18552.0
375000.0,56.0,2,2.6,4.0,35.0,1,False,False,False,9.0,0,-1.0,-1.0
1497500.0,71.0,2,2.6,10.0,39.4,4,False,False,False,12.6,2,36144.0,16446.0
1000000.0,45.3,2,2.6,5.0,30.4,5,False,False,False,6.3,0,27553.0,8261.0
1437500.0,42.8,1,2.77149889685604,10.0,17.0,7,False,False,False,10.9,0,16531.0,11637.0
1199750.0,51.0,2,2.77149889685604,5.0,31.0,1,False,False,False,7.0,0,32716.0,9794.0
2625000.0,90.0,2,2.9,7.0,60.9,1,False,False,False,9.3,0,10360.0,10297.0
750000.0,63.0,3,2.77149889685604,5.0,42.0,4,False,False,False,11.0,0,-1.0,-1.0
1162500.0,50.6,1,2.7,16.0,16.63,7,False,False,False,11.322330771794704,0,17632.0,15973.0
680000.0,31.0,1,2.77149889685604,3.0,17.2,2,False,False,False,5.6,1,27736.0,22624.0
862500.0,37.0,1,2.6,5.0,22.37,5,False,False,False,6.0,1,14342.0,12882.0
725000.0,52.0,1,2.77149889685604,14.0,28.0,6,False,False,False,14.0,0,-1.0,-1.0
2287500.0,72.0,3,2.5,4.0,61.0,1,False,False,False,10.0,0,25633.0,4427.0
1350000.0,68.8,2,2.75,22.0,35.55,20,False,False,False,13.67,0,-1.0,-1.0
1500000.0,53.0,2,2.8,3.0,30.0,2,False,False,False,8.5,1,15351.0,27504.0
939639.0,34.9,1,2.77149889685604,7.0,12.71,5,False,False,False,11.71,0,54723.0,19216.0
2612500.0,109.3,5,3.3,7.0,67.0,6,False,False,False,9.5,0,24823.0,5042.0
1119500.0,60.0,2,2.77149889685604,13.0,36.0,5,False,False,False,12.5,0,-1.0,-1.0
1116250.0,49.76,2,2.55,9.0,30.16,9,False,False,False,9.46,0,27921.0,13640.0
1143750.0,31.4,1,2.77149889685604,12.0,13.802561070869125,7,False,False,False,6.9,2,31801.0,13460.0
3875000.0,121.0,3,2.7,23.0,55.5,22,False,False,False,29.3,5,40417.0,12120.0
1472500.0,62.0,2,2.77149889685604,25.0,36.0,3,False,False,False,11.0,0,10534.0,12437.0
392500.0,35.0,1,2.77149889685604,3.0,21.0,1,False,False,False,8.0,0,-1.0,-1.0
1462500.0,60.4,4,2.77149889685604,7.0,41.3,7,False,False,False,7.8,0,25633.0,4427.0
2672500.0,86.9,2,2.77149889685604,6.0,50.5,4,False,False,False,12.5,0,25323.0,5741.0
1325000.0,70.0,3,2.77149889685604,5.0,39.36948058636752,4,False,False,False,12.0,0,-1.0,-1.0
1400000.0,28.0,1,2.77149889685604,5.0,12.308016241539349,5,False,False,False,6.265321375696674,0,28931.0,7778.0
8250000.0,114.0,3,3.0,12.0,54.0,4,False,False,False,20.0,0,25799.0,4593.0
1162500.0,33.0,1,2.77149889685604,13.0,14.505876284671372,2,False,False,False,7.384128764213937,0,33624.0,13492.0
825000.0,38.0,1,2.5,9.0,18.0,3,False,False,False,8.0,0,15683.0,14479.0
5225000.0,121.0,4,3.13,6.0,75.0,3,False,False,False,14.0,0,24655.0,2985.0
